Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2323786-0,Bar Nightclub Oscar Oy,,,2010-04-12,http://avoindata.prh.fi/opendata/tr/v1/2323786-0,OY
2500158-7,Speakeasy Original Wings Cellar Oy,,,2012-10-05,http://avoindata.prh.fi/opendata/tr/v1/2500158-7,OY
2541239-4,Helsingin Nightclub Tähti Oy,,,2013-04-29,http://avoindata.prh.fi/opendata/tr/v1/2541239-4,OY
2800350-2,Sori Taprooms Oy,,,2016-12-15,http://avoindata.prh.fi/opendata/tr/v1/2800350-2,OY
3100798-5,Itiksen Speakeasy Oy,,,2019-11-27,http://avoindata.prh.fi/opendata/tr/v1/3100798-5,OY
3100794-2,Helsingin Speakeasy Oy,,,2019-11-27,http://avoindata.prh.fi/opendata/tr/v1/3100794-2,OY
3260918-7,Tampereen Speakeasy Oy,,,2022-09-15,http://avoindata.prh.fi/opendata/tr/v1/3260918-7,OY
3260923-2,Speakeasy Invest Oy,,,2022-09-15,http://avoindata.prh.fi/opendata/tr/v1/3260923-2,OY
2094731-4,Bells Publishing Oy,,,2007-02-19,http://avoindata.prh.fi/opendata/tr/v1/2094731-4,OY
2095639-2,Harkko Pub Oy,,,2007-02-16,http://avoindata.prh.fi/opendata/tr/v1/2095639-2,OY
2120557-4,Mertsi Pub Oy,,,2007-07-03,http://avoindata.prh.fi/opendata/tr/v1/2120557-4,OY
2102919-5,Frendit Pub Pirkanmaa Oy,,,2007-03-20,http://avoindata.prh.fi/opendata/tr/v1/2102919-5,OY
2108060-1,HL Publishing Oy,,,2007-04-10,http://avoindata.prh.fi/opendata/tr/v1/2108060-1,OY
2210281-7,Old Town Public House Oy,,,2008-09-04,http://avoindata.prh.fi/opendata/tr/v1/2210281-7,OY
2224785-6,Fullsteam Publishing Oy,,,2008-10-17,http://avoindata.prh.fi/opendata/tr/v1/2224785-6,OY
2217773-9,Interpublic Finland Oy,,,2008-12-31,http://avoindata.prh.fi/opendata/tr/v1/2217773-9,OY
2237459-9,HiQ Public Oy,,,2008-12-11,http://avoindata.prh.fi/opendata/tr/v1/2237459-9,OY
2235770-5,In Between Publishing Oy,,,2008-12-09,http://avoindata.prh.fi/opendata/tr/v1/2235770-5,OY
2234618-4,Pub Hopotus Oy,,,2008-12-01,http://avoindata.prh.fi/opendata/tr/v1/2234618-4,OY
2235387-8,Corda Pubblicitá Oy,,,2008-11-28,http://avoindata.prh.fi/opendata/tr/v1/2235387-8,OY
2233502-0,WFL Publisher Oy,,,2008-11-25,http://avoindata.prh.fi/opendata/tr/v1/2233502-0,OY
2205715-5,Ivalon Pubi Oy,,,2008-07-14,http://avoindata.prh.fi/opendata/tr/v1/2205715-5,OY
2175609-3,Pub P-51 Oy,,,2008-02-20,http://avoindata.prh.fi/opendata/tr/v1/2175609-3,OY
2162600-2,MIKKELIN KESKUSBAARI OY,,,2008-01-09,http://avoindata.prh.fi/opendata/tr/v1/2162600-2,OY
2187680-2,Kempeleen Baarimestarit Oy,,,2008-04-09,http://avoindata.prh.fi/opendata/tr/v1/2187680-2,OY
2281087-2,Suomen Gastropub Oy,,,2009-10-23,http://avoindata.prh.fi/opendata/tr/v1/2281087-2,OY
2300359-7,Solar Republic Oy,,,2009-11-27,http://avoindata.prh.fi/opendata/tr/v1/2300359-7,OY
2274306-7,Pub Amuri Oy,,,2009-07-07,http://avoindata.prh.fi/opendata/tr/v1/2274306-7,OY
2262751-7,Republic of Communications Oy,,,2009-05-14,http://avoindata.prh.fi/opendata/tr/v1/2262751-7,OY
2240869-9,Baarisalkku Oy,,,2009-01-23,http://avoindata.prh.fi/opendata/tr/v1/2240869-9,OY
2257461-1,Kaari Pub Oy,,,2009-03-24,http://avoindata.prh.fi/opendata/tr/v1/2257461-1,OY
2310918-0,Lapin Krouvit Oy,,,2010-01-27,http://avoindata.prh.fi/opendata/tr/v1/2310918-0,OY
