Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2094197-5,Burgertaste Oy,,,2007-02-09,http://avoindata.prh.fi/opendata/tr/v1/2094197-5,OY
2140575-2,Kiinteistö Oy Kankaanpään Burger-Talo,,,2007-09-19,http://avoindata.prh.fi/opendata/tr/v1/2140575-2,OY
2139948-7,Maskun Kebab-Pizzeria Oy,,,2007-09-18,http://avoindata.prh.fi/opendata/tr/v1/2139948-7,OY
2128639-4,JWS Burger AB,,,2007-08-30,http://avoindata.prh.fi/opendata/tr/v1/2128639-4,OY
2120461-9,Kiinteistö Oy Raahen Burger,,,2007-06-18,http://avoindata.prh.fi/opendata/tr/v1/2120461-9,OY
2082941-4,AJ Sandwiches Oy,,,2007-01-05,http://avoindata.prh.fi/opendata/tr/v1/2082941-4,OY
2164157-9,Burgersatu Oy,,,2008-02-18,http://avoindata.prh.fi/opendata/tr/v1/2164157-9,OY
2171657-7,NuottiBurger Oy,,,2008-02-05,http://avoindata.prh.fi/opendata/tr/v1/2171657-7,OY
2209917-9,Liisan Pizza Oy,,,2008-08-22,http://avoindata.prh.fi/opendata/tr/v1/2209917-9,OY
2210427-3,Kiinteistö Oy Limingan Burger,,,2008-08-21,http://avoindata.prh.fi/opendata/tr/v1/2210427-3,OY
2230027-4,Kolmostien Burger Oy,,,2008-11-04,http://avoindata.prh.fi/opendata/tr/v1/2230027-4,OY
2221277-6,MetalliBurger Oy,,,2008-09-30,http://avoindata.prh.fi/opendata/tr/v1/2221277-6,OY
2203814-9,Lahden Burger Oy,,,2008-07-16,http://avoindata.prh.fi/opendata/tr/v1/2203814-9,OY
2196054-5,TuplaBurger Oy,,,2008-05-27,http://avoindata.prh.fi/opendata/tr/v1/2196054-5,OY
2197191-4,Savon Burger Oy,,,2008-05-27,http://avoindata.prh.fi/opendata/tr/v1/2197191-4,OY
2196300-9,Perniön Rullakebab -tehdas Oy,,,2008-05-23,http://avoindata.prh.fi/opendata/tr/v1/2196300-9,OY
2184271-7,Kiinteistö Oy Kuusankosken Burger-Talo,,,2008-03-27,http://avoindata.prh.fi/opendata/tr/v1/2184271-7,OY
2182377-8,Pekan Pelikioski-Kahvio Oy,,,2008-03-13,http://avoindata.prh.fi/opendata/tr/v1/2182377-8,OY
2180335-5,V-P Pizza Oy,,,2008-03-10,http://avoindata.prh.fi/opendata/tr/v1/2180335-5,OY
2177830-5,RumbaBurger Oy,,,2008-02-26,http://avoindata.prh.fi/opendata/tr/v1/2177830-5,OY
2189751-5,Burgerflamingo Oy,,,2008-04-21,http://avoindata.prh.fi/opendata/tr/v1/2189751-5,OY
