Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2394509-0,Powerbread Oy,,,2011-03-11,http://avoindata.prh.fi/opendata/tr/v1/2394509-0,OY
2452037-7,Pastry Works Oy,,,2012-01-30,http://avoindata.prh.fi/opendata/tr/v1/2452037-7,OY
2796849-2,Cloud Patisserie Oy,,,2016-11-25,http://avoindata.prh.fi/opendata/tr/v1/2796849-2,OY
2782078-9,ND Pastry Art Studio Oy,,,2016-09-28,http://avoindata.prh.fi/opendata/tr/v1/2782078-9,OY
2952370-2,Save Money Make Bread Oy,,,2018-11-26,http://avoindata.prh.fi/opendata/tr/v1/2952370-2,OY
3160944-1,Pastry Agency Oy,,,2020-09-29,http://avoindata.prh.fi/opendata/tr/v1/3160944-1,OY
2091311-4,Lounaskahvila Kiito Oy,,,2007-02-02,http://avoindata.prh.fi/opendata/tr/v1/2091311-4,OY
2090451-7,MP-Cafe Oy,,,2007-01-31,http://avoindata.prh.fi/opendata/tr/v1/2090451-7,OY
2140361-8,Kotileipomo Viipukka Oy,,,2007-10-01,http://avoindata.prh.fi/opendata/tr/v1/2140361-8,OY
2141701-6,Lounaskahvila-konditoria Mainio Oy,,,2007-10-10,http://avoindata.prh.fi/opendata/tr/v1/2141701-6,OY
2164233-6,MAX'S CAFE OY,,,2007-12-27,http://avoindata.prh.fi/opendata/tr/v1/2164233-6,OY
2155974-3,KAHVILA-RAVINTOLA MYRSKYTÄHTI OY,,,2007-11-19,http://avoindata.prh.fi/opendata/tr/v1/2155974-3,OY
2125562-7,Kokokahvila Oy,,,2007-07-05,http://avoindata.prh.fi/opendata/tr/v1/2125562-7,OY
2105247-5,Helmi Gluteeniton Leipomo Oy,,,2007-03-27,http://avoindata.prh.fi/opendata/tr/v1/2105247-5,OY
2085017-6,Wealth Bakery Oy,,,2007-01-09,http://avoindata.prh.fi/opendata/tr/v1/2085017-6,OY
2110299-7,Cafe Rantakivi Oy,,,2007-05-07,http://avoindata.prh.fi/opendata/tr/v1/2110299-7,OY
2109922-2,Lounaskahvila Tara Oy,,,2007-05-01,http://avoindata.prh.fi/opendata/tr/v1/2109922-2,OY
2108074-0,Konditoria Kahvila Aleksandra Oy,,,2007-04-19,http://avoindata.prh.fi/opendata/tr/v1/2108074-0,OY
2214417-9,Kahvila Neilikka Oy,,,2008-09-10,http://avoindata.prh.fi/opendata/tr/v1/2214417-9,OY
2221492-3,Cafe Naissaari Oy,,,2008-10-03,http://avoindata.prh.fi/opendata/tr/v1/2221492-3,OY
2220799-3,Kantolan Kahvilat Oy,,,2008-09-29,http://avoindata.prh.fi/opendata/tr/v1/2220799-3,OY
2201633-7,Lounaskahvila Vieno Oy,,,2008-06-27,http://avoindata.prh.fi/opendata/tr/v1/2201633-7,OY
2196998-8,Cafe'Muru Oy,,,2008-06-05,http://avoindata.prh.fi/opendata/tr/v1/2196998-8,OY
2181003-7,Aschan Kahvilat Oy,,,2008-03-19,http://avoindata.prh.fi/opendata/tr/v1/2181003-7,OY
2182649-3,Leipomo-konditoria Mimmin Pulla Oy,,,2008-03-17,http://avoindata.prh.fi/opendata/tr/v1/2182649-3,OY
2182377-8,Pekan Pelikioski-Kahvio Oy,,,2008-03-13,http://avoindata.prh.fi/opendata/tr/v1/2182377-8,OY
2191625-3,Restacafe Trading Oy,,,2008-04-29,http://avoindata.prh.fi/opendata/tr/v1/2191625-3,OY
2283785-6,Manner Kahvila Oy,,,2009-09-04,http://avoindata.prh.fi/opendata/tr/v1/2283785-6,OY
2301841-4,Oy Sarin Kahvila Ab,,,2009-12-04,http://avoindata.prh.fi/opendata/tr/v1/2301841-4,OY
2298090-0,Wanhan Pappilan Kahvila&Vierastalo Oy,,,2009-11-30,http://avoindata.prh.fi/opendata/tr/v1/2298090-0,OY
2275703-9,Kahvila Kenkälusikka Oy,,,2009-07-17,http://avoindata.prh.fi/opendata/tr/v1/2275703-9,OY
2264456-0,Barcafe Finland Oy,,,2009-06-09,http://avoindata.prh.fi/opendata/tr/v1/2264456-0,OY
0948116-2,Elinan Kotileipomo Oy,,,2009-05-18,http://avoindata.prh.fi/opendata/tr/v1/0948116-2,OY
2264513-3,Uljuan Kahvila Oy,,,2009-05-14,http://avoindata.prh.fi/opendata/tr/v1/2264513-3,OY
2264379-5,"Juhlapalvelu, Konditoriakahvila Puustinna Oy",,,2009-05-04,http://avoindata.prh.fi/opendata/tr/v1/2264379-5,OY
2239041-7,Cafe Latte spirit Oy,,,2009-01-16,http://avoindata.prh.fi/opendata/tr/v1/2239041-7,OY
2259623-9,Hämeenlinnan Torikahvila Oy,,,2009-04-06,http://avoindata.prh.fi/opendata/tr/v1/2259623-9,OY
2253899-5,Cafeteria- ja juhlapalvelu Diogenes Oy,,,2009-03-17,http://avoindata.prh.fi/opendata/tr/v1/2253899-5,OY
2309267-3,Pitopalvelu ja Lounaskahvila NUTUKAS Oy,,,2010-01-19,http://avoindata.prh.fi/opendata/tr/v1/2309267-3,OY
2349093-8,Cerranon kahvila Oy,,,2010-09-16,http://avoindata.prh.fi/opendata/tr/v1/2349093-8,OY
2366862-8,Asunto Oy Helsingin Aamukahvi,,,2010-10-29,http://avoindata.prh.fi/opendata/tr/v1/2366862-8,AOY
2366863-6,Asunto Oy Helsingin Kahvipavunkuja 3,,,2010-10-29,http://avoindata.prh.fi/opendata/tr/v1/2366863-6,AOY
2363243-0,LounasKahvila & Juhlapalvelu Marja Kankare Oy,,,2010-10-15,http://avoindata.prh.fi/opendata/tr/v1/2363243-0,OY
2358880-4,Oy Old Bakery Ab LTD,,,2010-10-05,http://avoindata.prh.fi/opendata/tr/v1/2358880-4,OY
2377459-4,Cafe Kallion Cardemumma Oy,,,2010-12-31,http://avoindata.prh.fi/opendata/tr/v1/2377459-4,OY
2376419-3,Vip Cafe Oy,,,2010-12-14,http://avoindata.prh.fi/opendata/tr/v1/2376419-3,OY
2370499-1,Kahvila Kauris Oy,,,2010-11-29,http://avoindata.prh.fi/opendata/tr/v1/2370499-1,OY
2346767-4,Cafento Oy,,,2010-08-16,http://avoindata.prh.fi/opendata/tr/v1/2346767-4,OY
2337990-6,Kahvilaitehuolto Suomi Oy,,,2010-07-06,http://avoindata.prh.fi/opendata/tr/v1/2337990-6,OY
2343282-6,Asunto Oy Helsingin Kahvimestari 1,,,2010-06-29,http://avoindata.prh.fi/opendata/tr/v1/2343282-6,AOY
2343286-9,Asunto Oy Helsingin Kahvimestari 2,,,2010-06-21,http://avoindata.prh.fi/opendata/tr/v1/2343286-9,AOY
2324069-9,Kahvila Ulla ja Aleksanteri Oy,,,2010-03-31,http://avoindata.prh.fi/opendata/tr/v1/2324069-9,OY
