Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2802540-2,M.R. Renovation Oy,,,2016-12-29,http://avoindata.prh.fi/opendata/tr/v1/2802540-2,OY
3091241-4,IA-Renovation Oy,,,2019-10-22,http://avoindata.prh.fi/opendata/tr/v1/3091241-4,OY
3018499-8,LL Renovation & Construction Oy,,,2019-09-12,http://avoindata.prh.fi/opendata/tr/v1/3018499-8,OY
3169249-2,MyRenovation Oy,,,2020-12-01,http://avoindata.prh.fi/opendata/tr/v1/3169249-2,OY
3148746-4,DTRenovation Oy,,,2020-08-03,http://avoindata.prh.fi/opendata/tr/v1/3148746-4,OY
3306129-9,Renovation Group Oy,,,2022-08-22,http://avoindata.prh.fi/opendata/tr/v1/3306129-9,OY
3293834-3,Renovation star Oy,,,2022-08-11,http://avoindata.prh.fi/opendata/tr/v1/3293834-3,OY
3299257-7,Prof Renovation Oy,,,2022-07-18,http://avoindata.prh.fi/opendata/tr/v1/3299257-7,OY
3402331-5,Renovation Dust Oy,,,2023-11-08,http://avoindata.prh.fi/opendata/tr/v1/3402331-5,OY
2094965-1,Lapin Saneeraustiimi Oy,,,2007-02-22,http://avoindata.prh.fi/opendata/tr/v1/2094965-1,OY
2091375-5,Vantaan LVI-saneeraus Oy,,,2007-02-09,http://avoindata.prh.fi/opendata/tr/v1/2091375-5,OY
2091072-2,Saneeraus- ja Puutyö Honkanen Oy,,,2007-02-01,http://avoindata.prh.fi/opendata/tr/v1/2091072-2,OY
2090987-9,RL Rakennus ja Saneeraus Oy,,,2007-01-31,http://avoindata.prh.fi/opendata/tr/v1/2090987-9,OY
2087525-0,Levin Maalauspalvelu Oy,,,2007-01-17,http://avoindata.prh.fi/opendata/tr/v1/2087525-0,OY
2139177-6,OG Talosaneeraus Oy,,,2007-10-01,http://avoindata.prh.fi/opendata/tr/v1/2139177-6,OY
2142354-7,Maalausliike Hirvelä Oy,,,2007-10-01,http://avoindata.prh.fi/opendata/tr/v1/2142354-7,OY
2138349-3,PTV Saneeraus Oy,,,2007-09-11,http://avoindata.prh.fi/opendata/tr/v1/2138349-3,OY
2127271-8,Maalausliike F-Paint Oy,,,2007-09-01,http://avoindata.prh.fi/opendata/tr/v1/2127271-8,OY
2135461-7,A-PUTKISANEERAUS OY,,,2007-08-29,http://avoindata.prh.fi/opendata/tr/v1/2135461-7,OY
2152509-2,Tampereen Tehomaalaus Oy,,,2007-11-01,http://avoindata.prh.fi/opendata/tr/v1/2152509-2,OY
2150469-7,HANNUN SANEERAUS JA LAATOITUSTYÖ OY,,,2007-10-31,http://avoindata.prh.fi/opendata/tr/v1/2150469-7,OY
2148889-3,SA Asennus ja Saneeraus Oy,,,2007-10-31,http://avoindata.prh.fi/opendata/tr/v1/2148889-3,OY
2144403-0,Rakennus ja Maalaus Naukkarinen Oy,,,2007-10-24,http://avoindata.prh.fi/opendata/tr/v1/2144403-0,OY
2149416-9,Maalausliike Ovaskainen Oy,,,2007-10-23,http://avoindata.prh.fi/opendata/tr/v1/2149416-9,OY
2147014-0,Saneeraus ja Maalaus Vapaavuori Oy,,,2007-10-15,http://avoindata.prh.fi/opendata/tr/v1/2147014-0,OY
2147165-3,Saneeraus A. Luukkonen Oy,,,2007-10-15,http://avoindata.prh.fi/opendata/tr/v1/2147165-3,OY
2145608-2,L&E Rakennus ja Saneeraus Oy,,,2007-10-12,http://avoindata.prh.fi/opendata/tr/v1/2145608-2,OY
2145243-6,URM-Saneeraus Oy,,,2007-10-09,http://avoindata.prh.fi/opendata/tr/v1/2145243-6,OY
2144882-4,Metamaalaus Oy,,,2007-10-09,http://avoindata.prh.fi/opendata/tr/v1/2144882-4,OY
2160589-3,Saneeraus Koivisto Oy,,,2007-12-12,http://avoindata.prh.fi/opendata/tr/v1/2160589-3,OY
2157781-0,Saneeraus Koponen Oy,,,2007-12-05,http://avoindata.prh.fi/opendata/tr/v1/2157781-0,OY
2159976-1,Maalaus ja remontti Hirvonen Oy,,,2007-12-04,http://avoindata.prh.fi/opendata/tr/v1/2159976-1,OY
2157918-9,Vantaan ML-Maalaustyö Oy,,,2007-11-23,http://avoindata.prh.fi/opendata/tr/v1/2157918-9,OY
2155782-8,Saneerauspalvelu K. Raiskio Oy,,,2007-11-19,http://avoindata.prh.fi/opendata/tr/v1/2155782-8,OY
