Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2073843-2,Finnish Construction Technologies Oy,,,2007-02-09,http://avoindata.prh.fi/opendata/tr/v1/2073843-2,OY
2150672-1,Construction consulting group Oy,,,2007-11-01,http://avoindata.prh.fi/opendata/tr/v1/2150672-1,OY
2131576-5,JM-Construction Oy,,,2007-08-10,http://avoindata.prh.fi/opendata/tr/v1/2131576-5,OY
2225308-4,Construction Express Oy,,,2008-11-03,http://avoindata.prh.fi/opendata/tr/v1/2225308-4,OY
2281419-5,AEN Construction Oy,,,2009-09-08,http://avoindata.prh.fi/opendata/tr/v1/2281419-5,OY
2304645-8,Finnish construction partners oy,,,2009-12-29,http://avoindata.prh.fi/opendata/tr/v1/2304645-8,OY
2274462-5,PCC Peltomaa Construction Consulting Oy,,,2009-07-14,http://avoindata.prh.fi/opendata/tr/v1/2274462-5,OY
2305212-9,Haataja Construction Company Oy,,,2010-01-15,http://avoindata.prh.fi/opendata/tr/v1/2305212-9,OY
2352006-8,Construction IP Oy,,,2010-10-04,http://avoindata.prh.fi/opendata/tr/v1/2352006-8,OY
2366177-6,TAS Energy Construction Oy,,,2010-11-05,http://avoindata.prh.fi/opendata/tr/v1/2366177-6,OY
2375728-4,Johannes Construction and Design Oy,,,2010-12-29,http://avoindata.prh.fi/opendata/tr/v1/2375728-4,OY
2374358-7,Finnish Construction Support Oy,,,2010-12-17,http://avoindata.prh.fi/opendata/tr/v1/2374358-7,OY
2372090-8,Hidden Construction Oy,,,2010-12-03,http://avoindata.prh.fi/opendata/tr/v1/2372090-8,OY
2346464-1,JD Construction Ab,,,2010-08-09,http://avoindata.prh.fi/opendata/tr/v1/2346464-1,OY
2339152-6,Construction Partner Ahto Oy,,,2010-06-24,http://avoindata.prh.fi/opendata/tr/v1/2339152-6,OY
2389450-2,Ruukki Construction Oy,,,2011-02-17,http://avoindata.prh.fi/opendata/tr/v1/2389450-2,OY
2426724-4,European Construction Company Oy,,,2011-11-11,http://avoindata.prh.fi/opendata/tr/v1/2426724-4,OY
2447396-1,RKC Construction Oy,,,2011-12-16,http://avoindata.prh.fi/opendata/tr/v1/2447396-1,OY
2376331-8,ASTRA Construction Oy,,,2011-01-17,http://avoindata.prh.fi/opendata/tr/v1/2376331-8,OY
2407717-6,Ivors Construction Oy,,,2011-05-20,http://avoindata.prh.fi/opendata/tr/v1/2407717-6,OY
2498032-2,SubConstruction Oy,,,2012-09-20,http://avoindata.prh.fi/opendata/tr/v1/2498032-2,OY
2481283-9,Elcoline Construction Oy,,,2012-06-28,http://avoindata.prh.fi/opendata/tr/v1/2481283-9,OY
2466882-2,J.R.Construction Management Oy,,,2012-04-25,http://avoindata.prh.fi/opendata/tr/v1/2466882-2,OY
2479855-5,TOP Construction & Consulting Oy,,,2012-05-31,http://avoindata.prh.fi/opendata/tr/v1/2479855-5,OY
2570370-6,KE Construction Oy,,,2013-10-11,http://avoindata.prh.fi/opendata/tr/v1/2570370-6,OY
2590859-2,Koski Construction Oy,,,2013-12-31,http://avoindata.prh.fi/opendata/tr/v1/2590859-2,OY
2559978-5,wpd construction Finland Oy,,,2013-07-31,http://avoindata.prh.fi/opendata/tr/v1/2559978-5,OY
2541593-1,Temet Construction Oy,,,2013-04-09,http://avoindata.prh.fi/opendata/tr/v1/2541593-1,OY
2544025-6,JO Construction Oy,,,2013-05-07,http://avoindata.prh.fi/opendata/tr/v1/2544025-6,OY
2658107-7,E.Lindroos Construction Ab Oy,,,2014-12-12,http://avoindata.prh.fi/opendata/tr/v1/2658107-7,OY
2656653-9,MT Rakennus Construction Group Oy,,,2014-12-05,http://avoindata.prh.fi/opendata/tr/v1/2656653-9,OY
2636175-2,MJL Construction Oy,,,2014-08-28,http://avoindata.prh.fi/opendata/tr/v1/2636175-2,OY
2613429-3,Nordström Construction Ab,,,2014-04-08,http://avoindata.prh.fi/opendata/tr/v1/2613429-3,OY
2613656-3,Rauma Marine Constructions Oy,,,2014-04-07,http://avoindata.prh.fi/opendata/tr/v1/2613656-3,OY
2684058-5,AALTO Construction Oy,,,2015-04-09,http://avoindata.prh.fi/opendata/tr/v1/2684058-5,OY
2729021-2,M-L Construction Oy,,,2015-12-08,http://avoindata.prh.fi/opendata/tr/v1/2729021-2,OY
2699980-1,Ab Lindberg Construction Oy,,,2015-07-30,http://avoindata.prh.fi/opendata/tr/v1/2699980-1,OY
2784456-1,Element Mining and Construction Oy,,,2016-10-26,http://avoindata.prh.fi/opendata/tr/v1/2784456-1,OY
2775269-1,AM Constructions Oy,,,2016-08-26,http://avoindata.prh.fi/opendata/tr/v1/2775269-1,OY
2765353-8,Viking Construction Ltd Oy,,,2016-06-20,http://avoindata.prh.fi/opendata/tr/v1/2765353-8,OY
2769078-5,Mikkonen Construction Consulting Oy,,,2016-07-08,http://avoindata.prh.fi/opendata/tr/v1/2769078-5,OY
2865154-2,MWilk Construction Oy,,,2017-12-07,http://avoindata.prh.fi/opendata/tr/v1/2865154-2,OY
2822508-4,LVI Tec & Construction Ab Oy,,,2017-03-21,http://avoindata.prh.fi/opendata/tr/v1/2822508-4,OY
2946746-4,PH Construction Services Oy Ltd,,,2018-10-23,http://avoindata.prh.fi/opendata/tr/v1/2946746-4,OY
2959425-2,ForeFront Digital Construction Services Oy,,,2018-12-20,http://avoindata.prh.fi/opendata/tr/v1/2959425-2,OY
