Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2265447-8,Suomen Diner Ravintolat Oy,,,2009-05-26,http://avoindata.prh.fi/opendata/tr/v1/2265447-8,OY
2263852-3,Tibet Grill Oy,,,2009-05-07,http://avoindata.prh.fi/opendata/tr/v1/2263852-3,OY
2262727-7,Mama's Bar&Bistro Oy,,,2009-05-01,http://avoindata.prh.fi/opendata/tr/v1/2262727-7,OY
2313271-9,Lapuan Grilli Oy,,,2010-02-05,http://avoindata.prh.fi/opendata/tr/v1/2313271-9,OY
2368869-6,Rauman Grillipalvelut Oy,,,2010-11-10,http://avoindata.prh.fi/opendata/tr/v1/2368869-6,OY
2389969-6,Grillinksa Oy,,,2011-03-07,http://avoindata.prh.fi/opendata/tr/v1/2389969-6,OY
2424476-3,Teatterin Grillikioski Oy,,,2011-09-06,http://avoindata.prh.fi/opendata/tr/v1/2424476-3,OY
2434783-4,Kouvolan Grillit Oy,,,2011-10-26,http://avoindata.prh.fi/opendata/tr/v1/2434783-4,OY
2415935-8,Billnäs Garden & Bistro Oy Ab,,,2011-07-15,http://avoindata.prh.fi/opendata/tr/v1/2415935-8,OY
2414674-1,Koli's grilli & kahvila Oy,,,2011-06-28,http://avoindata.prh.fi/opendata/tr/v1/2414674-1,OY
2516905-6,Paukun Grilli- ja Pelikioski Oy,,,2012-12-19,http://avoindata.prh.fi/opendata/tr/v1/2516905-6,OY
2483855-3,Mantan Grilli-Kioski Oy,,,2012-06-21,http://avoindata.prh.fi/opendata/tr/v1/2483855-3,OY
2482259-4,Bistromax Oy,,,2012-06-13,http://avoindata.prh.fi/opendata/tr/v1/2482259-4,OY
2534814-2,Multi-Steakhouse Oy,,,2013-03-11,http://avoindata.prh.fi/opendata/tr/v1/2534814-2,OY
2569697-2,Kouvolan Grilli-Kipsa Oy,,,2013-09-17,http://avoindata.prh.fi/opendata/tr/v1/2569697-2,OY
2535230-1,Supreme Diner Furniture Oy,,,2013-04-15,http://avoindata.prh.fi/opendata/tr/v1/2535230-1,OY
2604159-9,Kariniemen grilli oy,,,2014-03-11,http://avoindata.prh.fi/opendata/tr/v1/2604159-9,OY
2646934-1,Puistogrilli Oy,,,2014-10-23,http://avoindata.prh.fi/opendata/tr/v1/2646934-1,OY
2631059-2,Keski-Pohjanmaan Autogrilli Oy,,,2014-07-30,http://avoindata.prh.fi/opendata/tr/v1/2631059-2,OY
2589863-8,Akbulut Oy Kulta Pizza-Grilli,,,2014-01-01,http://avoindata.prh.fi/opendata/tr/v1/2589863-8,OY
2616838-9,Aito Grilli Oy,,,2014-04-23,http://avoindata.prh.fi/opendata/tr/v1/2616838-9,OY
2610450-2,HONG PHUC GRILLI-KIOSKI RAVINTOLA OY,,,2014-03-28,http://avoindata.prh.fi/opendata/tr/v1/2610450-2,OY
2610599-4,Grillikeisarit Oy,,,2014-03-27,http://avoindata.prh.fi/opendata/tr/v1/2610599-4,OY
2727443-1,Bar & Grill Varikko Oy,,,2015-12-01,http://avoindata.prh.fi/opendata/tr/v1/2727443-1,OY
2667304-3,Ramin Grilli Oy,,,2015-01-23,http://avoindata.prh.fi/opendata/tr/v1/2667304-3,OY
2676759-2,Pohjanmaan Grilli Oy,,,2015-02-26,http://avoindata.prh.fi/opendata/tr/v1/2676759-2,OY
2783318-4,Annen Grilli Oy,,,2016-09-28,http://avoindata.prh.fi/opendata/tr/v1/2783318-4,OY
2773554-1,ROADKILL BAR & GRILL OY,,,2016-08-24,http://avoindata.prh.fi/opendata/tr/v1/2773554-1,OY
2734944-8,Fes kebab & grill oy,,,2016-03-09,http://avoindata.prh.fi/opendata/tr/v1/2734944-8,OY
2745484-6,Lehtimäen Grilli Oy,,,2016-03-08,http://avoindata.prh.fi/opendata/tr/v1/2745484-6,OY
2745935-6,Impivaara Grilli Oy,,,2016-03-08,http://avoindata.prh.fi/opendata/tr/v1/2745935-6,OY
2765145-2,Bistro Puisto Oy,,,2016-06-22,http://avoindata.prh.fi/opendata/tr/v1/2765145-2,OY
2756356-7,To-mato grill Oy,,,2016-04-20,http://avoindata.prh.fi/opendata/tr/v1/2756356-7,OY
2750713-5,Kappelin Grilli Oy,,,2016-03-30,http://avoindata.prh.fi/opendata/tr/v1/2750713-5,OY
2768909-8,Mike's Diner Oy,,,2016-07-28,http://avoindata.prh.fi/opendata/tr/v1/2768909-8,OY
2771024-8,Comfort Grill Vaasa Oy,,,2016-07-13,http://avoindata.prh.fi/opendata/tr/v1/2771024-8,OY
2768040-5,Tikkurila-Grilli Oy,,,2016-06-29,http://avoindata.prh.fi/opendata/tr/v1/2768040-5,OY
2834950-3,Grillisepät Oy,,,2017-05-29,http://avoindata.prh.fi/opendata/tr/v1/2834950-3,OY
2863069-6,Bistro Piha Oy,,,2017-10-23,http://avoindata.prh.fi/opendata/tr/v1/2863069-6,OY
2855259-5,Veskun Grilli Oy,,,2017-10-18,http://avoindata.prh.fi/opendata/tr/v1/2855259-5,OY
2863009-8,Jykän Grilli Oy,,,2017-12-01,http://avoindata.prh.fi/opendata/tr/v1/2863009-8,OY
2854319-7,BISTRO HOPEA OY,,,2017-11-10,http://avoindata.prh.fi/opendata/tr/v1/2854319-7,OY
2868199-5,YP-Bistro Oy,,,2017-12-28,http://avoindata.prh.fi/opendata/tr/v1/2868199-5,OY
2870100-1,EXPRESS GRILL HOUSE OY,,,2017-12-20,http://avoindata.prh.fi/opendata/tr/v1/2870100-1,OY
2846467-5,Miller's Grill&BBQ Oy,,,2017-08-23,http://avoindata.prh.fi/opendata/tr/v1/2846467-5,OY
2838686-5,YLÄ-GRILLI OY,,,2017-06-15,http://avoindata.prh.fi/opendata/tr/v1/2838686-5,OY
2838986-3,Oy Box cafe & grill Ab,,,2017-08-03,http://avoindata.prh.fi/opendata/tr/v1/2838986-3,OY
2912242-3,Bistro Höijerskan Ab,,,2018-06-01,http://avoindata.prh.fi/opendata/tr/v1/2912242-3,OY
2948825-7,Le Bistrot Français Oy,,,2018-11-09,http://avoindata.prh.fi/opendata/tr/v1/2948825-7,OY
2946832-8,Meerin Grilli Oy,,,2018-11-08,http://avoindata.prh.fi/opendata/tr/v1/2946832-8,OY
2956499-3,Terjärv Grill Ab,,,2018-12-11,http://avoindata.prh.fi/opendata/tr/v1/2956499-3,OY
2920715-2,Roast & Grill King Oy,,,2018-08-28,http://avoindata.prh.fi/opendata/tr/v1/2920715-2,OY
2933095-1,Street Bagel & Bistro Oy,,,2018-08-23,http://avoindata.prh.fi/opendata/tr/v1/2933095-1,OY
2902375-9,Scandic Burger & Grill Ab,,,2018-04-16,http://avoindata.prh.fi/opendata/tr/v1/2902375-9,OY
3020929-4,BISTRO BARRICA Oy,,,2019-08-29,http://avoindata.prh.fi/opendata/tr/v1/3020929-4,OY
3100634-1,Kurosen Grilli Oy,,,2019-11-26,http://avoindata.prh.fi/opendata/tr/v1/3100634-1,OY
3098075-9,Bistro Camp Oy,,,2019-11-19,http://avoindata.prh.fi/opendata/tr/v1/3098075-9,OY
3105507-1,Torigrilli Säkylä oy,,,2019-12-16,http://avoindata.prh.fi/opendata/tr/v1/3105507-1,OY
3095209-6,Lempäälän Pizzeria Kebab ja Grilli Oy,,,2019-10-28,http://avoindata.prh.fi/opendata/tr/v1/3095209-6,OY
3091827-7,Kotibistro Oy,,,2019-10-28,http://avoindata.prh.fi/opendata/tr/v1/3091827-7,OY
3094287-5,Topsa-Grilli Oy,,,2019-10-23,http://avoindata.prh.fi/opendata/tr/v1/3094287-5,OY
3020663-2,Dinerazo Invest Oy,,,2019-09-13,http://avoindata.prh.fi/opendata/tr/v1/3020663-2,OY
3020822-4,Beef & Grill Oy,,,2019-09-09,http://avoindata.prh.fi/opendata/tr/v1/3020822-4,OY
3021651-5,Gazelle Grilli Oy,,,2019-09-03,http://avoindata.prh.fi/opendata/tr/v1/3021651-5,OY
3086295-5,Gizzy Grill Oy,,,2019-10-09,http://avoindata.prh.fi/opendata/tr/v1/3086295-5,OY
3085566-7,TEHRAN GRILL Oy,,,2019-10-01,http://avoindata.prh.fi/opendata/tr/v1/3085566-7,OY
3087759-1,VG Bistro Oy,,,2019-09-26,http://avoindata.prh.fi/opendata/tr/v1/3087759-1,OY
3166131-1,Nordic Smokery Bistro Oy,,,2020-11-11,http://avoindata.prh.fi/opendata/tr/v1/3166131-1,OY
3177726-9,Hannele's Bar & Bistro Oy,,,2020-12-29,http://avoindata.prh.fi/opendata/tr/v1/3177726-9,OY
3177639-7,Välilän Grilli-Kioski Oy,,,2020-12-28,http://avoindata.prh.fi/opendata/tr/v1/3177639-7,OY
3147036-3,Bistro Hiedan Helmi Oy,,,2020-07-22,http://avoindata.prh.fi/opendata/tr/v1/3147036-3,OY
3158596-1,Bistro & Butik Kronan Oy,,,2020-09-17,http://avoindata.prh.fi/opendata/tr/v1/3158596-1,OY
3155005-6,Bistro Sastamala Oy,,,2020-09-02,http://avoindata.prh.fi/opendata/tr/v1/3155005-6,OY
3155633-5,Välimeren Grill Oy,,,2020-09-02,http://avoindata.prh.fi/opendata/tr/v1/3155633-5,OY
3149523-7,Erägrilli Oy,,,2020-08-06,http://avoindata.prh.fi/opendata/tr/v1/3149523-7,OY
3231922-7,Max Grilli Oy,,,2021-09-01,http://avoindata.prh.fi/opendata/tr/v1/3231922-7,OY
3230964-3,Vilkun Auto-Grilli Oy,,,2021-08-31,http://avoindata.prh.fi/opendata/tr/v1/3230964-3,OY
3229989-5,Vuokragrilli MVM Oy,,,2021-08-25,http://avoindata.prh.fi/opendata/tr/v1/3229989-5,OY
3249760-5,Karkkilan Torigrilli Oy,,,2021-11-29,http://avoindata.prh.fi/opendata/tr/v1/3249760-5,OY
3255984-5,Tori Grilli Turku Oy,,,2021-12-31,http://avoindata.prh.fi/opendata/tr/v1/3255984-5,OY
3256050-4,Bite Cafe & Bistro Oy,,,2021-12-31,http://avoindata.prh.fi/opendata/tr/v1/3256050-4,OY
3254243-7,The Chili's Pizzeria & Grill Oy,,,2021-12-17,http://avoindata.prh.fi/opendata/tr/v1/3254243-7,OY
3244943-5,Bistrotus Oy,,,2021-11-02,http://avoindata.prh.fi/opendata/tr/v1/3244943-5,OY
3241863-9,Levin Grilli Oy,,,2021-10-13,http://avoindata.prh.fi/opendata/tr/v1/3241863-9,OY
3241247-2,Hämeenkatu - Grilli Oy,,,2021-10-12,http://avoindata.prh.fi/opendata/tr/v1/3241247-2,OY
3240585-4,Morris Diner oy,,,2021-10-08,http://avoindata.prh.fi/opendata/tr/v1/3240585-4,OY
