Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2139635-8,Ab Max's Energy Oy,,,2007-09-17,http://avoindata.prh.fi/opendata/tr/v1/2139635-8,OY
2163350-1,Proton Lighting Suomi Oy,,,2007-12-31,http://avoindata.prh.fi/opendata/tr/v1/2163350-1,OY
2158224-9,EnergyWave Oy,,,2007-12-18,http://avoindata.prh.fi/opendata/tr/v1/2158224-9,OY
2118299-0,Tuulia Energy Oy,,,2007-05-30,http://avoindata.prh.fi/opendata/tr/v1/2118299-0,OY
2098813-2,Focused Energy Oy,,,2007-03-05,http://avoindata.prh.fi/opendata/tr/v1/2098813-2,OY
2112434-4,Team Mark Lighting Oy,,,2007-05-11,http://avoindata.prh.fi/opendata/tr/v1/2112434-4,OY
2111187-7,Greenlux Lighting Solutions Oy,,,2007-04-24,http://avoindata.prh.fi/opendata/tr/v1/2111187-7,OY
2219326-1,Sustainable Energy Asset Management Oy,,,2008-09-19,http://avoindata.prh.fi/opendata/tr/v1/2219326-1,OY
2233264-7,Advanced Energy Network Oy,,,2008-11-24,http://avoindata.prh.fi/opendata/tr/v1/2233264-7,OY
2232778-4,Ab Tallqvist Energy Oy,,,2008-11-17,http://avoindata.prh.fi/opendata/tr/v1/2232778-4,OY
2205512-5,GV Sustainable Energy Oy,,,2008-07-24,http://avoindata.prh.fi/opendata/tr/v1/2205512-5,OY
2203992-6,JK-ECOENERGY OY,,,2008-07-10,http://avoindata.prh.fi/opendata/tr/v1/2203992-6,OY
2196142-5,Oy MS Energy Ab,,,2008-05-22,http://avoindata.prh.fi/opendata/tr/v1/2196142-5,OY
2165379-9,Westenergy Oy,,,2008-01-01,http://avoindata.prh.fi/opendata/tr/v1/2165379-9,OY
2284546-9,PERFORMANCE IN LIGHTING OY FINLAND,,,2009-09-17,http://avoindata.prh.fi/opendata/tr/v1/2284546-9,OY
2278741-4,KF-Energy Oy,,,2009-09-15,http://avoindata.prh.fi/opendata/tr/v1/2278741-4,OY
2265115-4,PROVIS Energy Oy,,,2009-08-14,http://avoindata.prh.fi/opendata/tr/v1/2265115-4,OY
2276451-1,Generous Energy Solutions Oy,,,2009-07-23,http://avoindata.prh.fi/opendata/tr/v1/2276451-1,OY
2274952-2,L-Energy Oy,,,2009-07-08,http://avoindata.prh.fi/opendata/tr/v1/2274952-2,OY
2308529-7,BCOL Energy Oy,,,2010-02-18,http://avoindata.prh.fi/opendata/tr/v1/2308529-7,OY
2313070-5,Ekoist Lighting Oy,,,2010-02-17,http://avoindata.prh.fi/opendata/tr/v1/2313070-5,OY
2346303-2,New Energy Finland Oy,,,2010-09-29,http://avoindata.prh.fi/opendata/tr/v1/2346303-2,OY
2351725-6,Scandinavian Wind Energy SWE Oy,,,2010-09-24,http://avoindata.prh.fi/opendata/tr/v1/2351725-6,OY
2340205-3,TK-Bioenergy Oy,,,2010-09-01,http://avoindata.prh.fi/opendata/tr/v1/2340205-3,OY
2366177-6,TAS Energy Construction Oy,,,2010-11-05,http://avoindata.prh.fi/opendata/tr/v1/2366177-6,OY
2375327-5,Finnish Energy Service Oy,,,2010-12-22,http://avoindata.prh.fi/opendata/tr/v1/2375327-5,OY
2360592-6,GreenEnergy Finland Oy,,,2010-11-19,http://avoindata.prh.fi/opendata/tr/v1/2360592-6,OY
2343114-5,World Circuit Games Oy Ltd,,,2010-07-08,http://avoindata.prh.fi/opendata/tr/v1/2343114-5,OY
2337445-1,RecyclingEnergy Int. Oy,,,2010-06-18,http://avoindata.prh.fi/opendata/tr/v1/2337445-1,OY
2322169-0,Primary Energy Finland Oy,,,2010-04-13,http://avoindata.prh.fi/opendata/tr/v1/2322169-0,OY
2327046-8,LGA Lighting Project Oy,,,2010-04-20,http://avoindata.prh.fi/opendata/tr/v1/2327046-8,OY
2328322-6,Driver's Energy Oy,,,2010-04-19,http://avoindata.prh.fi/opendata/tr/v1/2328322-6,OY
2436279-4,RS Energy Oy,,,2011-11-10,http://avoindata.prh.fi/opendata/tr/v1/2436279-4,OY
2437135-9,LumiTar Array Lighting Technology Finland Oy,,,2011-11-08,http://avoindata.prh.fi/opendata/tr/v1/2437135-9,OY
2436068-4,PJU Energy Consulting Oy,,,2011-11-07,http://avoindata.prh.fi/opendata/tr/v1/2436068-4,OY
2433477-7,Advanced Energy Research AER Oy,,,2011-10-28,http://avoindata.prh.fi/opendata/tr/v1/2433477-7,OY
2443301-1,Oy Runsorin EnergyCut Ab,,,2011-11-29,http://avoindata.prh.fi/opendata/tr/v1/2443301-1,OY
2441332-8,PROKON Wind Energy Finland Oy,,,2011-11-29,http://avoindata.prh.fi/opendata/tr/v1/2441332-8,OY
2439633-7,Trio Lighting Scandinavia Oy,,,2011-11-23,http://avoindata.prh.fi/opendata/tr/v1/2439633-7,OY
2418191-8,Alula Energy Oy,,,2011-07-20,http://avoindata.prh.fi/opendata/tr/v1/2418191-8,OY
